entropy_shannon,entropy_renyi,entropy_tsallis
"(1,-1.0)","(1,-1.0)","(1,-1.0)"
"(2,-1.0)","(2,-1.0)","(2,-1.0)"
"(3,-1.0)","(3,-1.0)","(3,-1.0)"
"(4,0.4324289523296623)","(4,0.4324289523296622)","(4,0.9090909090909092)"
"(5,0.4625549647676366)","(5,0.4625549647676365)","(5,0.9230769230769232)"
"(6,0.5)","(6,0.5)","(6,0.9375)"
"(7,0.5073517362914002)","(7,0.5022402384996578)","(7,0.9382716049382716)"
"(8,0.6575085957281799)","(8,0.6236312307179401)","(8,0.9685119079332942)"
"(9,0.5109328551562925)","(9,0.5109328551562925)","(9,0.9411764705882352)"
"(10,0.5371349159425831)","(10,0.5326341111875635)","(10,0.947845804988662)"
"(11,0.4871092156236136)","(11,0.4096050256698531)","(11,0.8968253968253969)"
"(12,0.5523798927243403)","(12,0.4339955709204598)","(12,0.9098772321428572)"
"(13,0.8689573004622259)","(13,0.8177569888462098)","(13,0.9892688828123156)"
"(14,0.5569187424858966)","(14,0.4642149812432968)","(14,0.9237817576009996)"
"(15,0.8841042091483134)","(15,0.8516742298173681)","(15,0.9911087241914308)"
"(16,0.8824522261600553)","(16,0.8611931185766557)","(16,0.9915658695487488)"
"(17,0.8639152242339405)","(17,0.8386877512651898)","(17,0.9904448251417768)"
"(18,0.6018479069415932)","(18,0.5701639040820639)","(18,0.9576446280991736)"
"(19,0.8802788536510239)","(19,0.8549893668650907)","(19,0.991270679545381)"
"(20,0.6038843734063215)","(20,0.5933101736608005)","(20,0.9627465303140978)"
"(21,0.8983726137799205)","(21,0.8702619278555158)","(21,0.9919795184329032)"
"(22,0.8855644574883225)","(22,0.8644983248203921)","(22,0.991719041956854)"
"(23,0.8831434735746874)","(23,0.8623626491747444)","(23,0.9916203900520778)"
"(24,0.8908094371777251)","(24,0.8685213569609564)","(24,0.9919017317679047)"
"(25,0.8977942362508321)","(25,0.8735334007216928)","(25,0.992123705372832)"
"(26,0.8879055870924958)","(26,0.867785562767964)","(26,0.9918686224489796)"
"(27,0.8713482378124745)","(27,0.8442946695613924)","(27,0.9907373376249716)"
"(28,0.889606859019941)","(28,0.8666742920620878)","(28,0.991818360626614)"
"(29,0.8654856849610852)","(29,0.8423031662701562)","(29,0.99063448093919)"
"(30,0.6358129681618323)","(30,0.6250816558221381)","(30,0.9687641466727026)"
"(31,0.6323517362914001)","(31,0.6272402384996578)","(31,0.9691358024691358)"
"(32,0.5759080569347971)","(32,0.5602659832589566)","(32,0.95525494276795)"
"(33,0.6038843734063215)","(33,0.5933101736608005)","(33,0.9627465303140978)"
"(34,0.4900332912252991)","(34,0.3992631017421799)","(34,0.8907356109572176)"
"(35,0.5109328551562925)","(35,0.5109328551562925)","(35,0.9411764705882352)"
"(36,0.5109328551562925)","(36,0.5109328551562925)","(36,0.9411764705882352)"
"(37,0.7068283900089607)","(37,0.6793003530182219)","(37,0.976875)"
"(38,0.7315827543733858)","(38,0.70729446993373)","(38,0.9802)"
"(39,0.5)","(39,0.5)","(39,0.9375)"
"(40,0.5212406251802891)","(40,0.5212406251802891)","(40,0.9444444444444444)"
"(41,0.7265594203033979)","(41,0.6902980034018067)","(41,0.9782431127942378)"
"(42,0.7489911493395737)","(42,0.7281135428559962)","(42,0.982358810432276)"
"(43,0.7300377976190832)","(43,0.6941340000397067)","(43,0.9787010222519243)"
"(44,0.6522257502830792)","(44,0.5977390222058179)","(44,0.9636502860231522)"
"(45,0.6499146030497206)","(45,0.5977390222058179)","(45,0.9636502860231522)"
"(46,0.6515086756419103)","(46,0.5977390222058179)","(46,0.963650286023152)"
"(47,0.6494119918120271)","(47,0.6467408664999762)","(47,0.9722991689750692)"
"(48,0.4580622224000577)","(48,0.451838730514401)","(48,0.9183673469387756)"
"(49,0.5786561529820043)","(49,0.5619818783608964)","(49,0.9556786703601108)"
"(50,0.5786561529820043)","(50,0.5619818783608964)","(50,0.9556786703601108)"
"(51,0.5786561529820043)","(51,0.5619818783608964)","(51,0.9556786703601108)"
"(52,0.5309909391804483)","(52,0.5309909391804483)","(52,0.9473684210526316)"
"(53,0.4580622224000577)","(53,0.451838730514401)","(53,0.9183673469387756)"
"(54,0.5880639324644437)","(54,0.5731203125901446)","(54,0.9583333333333334)"
"(55,0.5880639324644437)","(55,0.5731203125901446)","(55,0.9583333333333334)"
