ip_src,ip_dst,srcport,dstport,tp_proto,data_proto,data_type,data_len,entropy_shannon,entropy_renyi,entropy_tsallis,reason
10.42.0.140,10.42.0.160,27458,10796,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.160,10.42.0.140,10796,27458,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.140,10.42.0.255,7000,7000,udp,data,unknown,83.0,0.5070026210072353,0.3848689176743527,0.8816568047337278,info:
10.42.0.160,10.42.0.140,10796,27458,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.140,10.42.0.160,27458,10796,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.140,10.42.0.160,27458,10796,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.160,10.42.0.140,10796,27458,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,161.0,0.7286216837051649,0.7140929666307828,0.9809325428617208,info:
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,26.0,0.484375,0.478759374819711,0.9296875,info:
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,24.0,0.47169465778439823,0.46578979374583723,0.9244444444444444,info:
10.42.0.160,10.42.0.140,10796,27458,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.140,10.42.0.160,27458,10796,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.140,17.57.146.140,49916,5223,tcp,tls,unknown,32.0,0.5252301540378213,0.5175973319728495,0.9433106575963719,info:
10.42.0.140,17.57.146.140,49916,5223,tcp,tls,unknown,40.0,0.543706114072344,0.5365295512438196,0.9489603024574669,info:
17.57.146.140,10.42.0.140,5223,49916,tcp,tls,unknown,24.0,0.48152109045041014,0.47282603246523985,0.9273356401384083,info:
10.42.0.140,10.42.0.160,27458,10796,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
10.42.0.160,10.42.0.140,10796,27458,udp,data,omit,4.0,-0.0,-0.0,0.0,info: small omit
