entropy_shannon,entropy_renyi,entropy_tsallis
"(1,-0.0)","(1,-0.0)","(1,0.0)"
"(2,-0.0)","(2,-0.0)","(2,0.0)"
"(3,0.5070026210072353)","(3,0.3848689176743527)","(3,0.8816568047337278)"
"(4,-0.0)","(4,-0.0)","(4,0.0)"
"(5,-0.0)","(5,-0.0)","(5,0.0)"
"(6,-0.0)","(6,-0.0)","(6,0.0)"
"(7,-0.0)","(7,-0.0)","(7,0.0)"
"(8,0.7286216837051649)","(8,0.7140929666307828)","(8,0.9809325428617208)"
"(9,0.484375)","(9,0.478759374819711)","(9,0.9296875)"
"(10,0.4716946577843982)","(10,0.4657897937458372)","(10,0.9244444444444444)"
"(11,-0.0)","(11,-0.0)","(11,0.0)"
"(12,-0.0)","(12,-0.0)","(12,0.0)"
"(13,0.5252301540378213)","(13,0.5175973319728495)","(13,0.943310657596372)"
"(14,0.543706114072344)","(14,0.5365295512438196)","(14,0.9489603024574668)"
"(15,0.4815210904504101)","(15,0.4728260324652398)","(15,0.9273356401384084)"
"(16,-0.0)","(16,-0.0)","(16,0.0)"
"(17,-0.0)","(17,-0.0)","(17,0.0)"
"(18,-0.0)","(18,-0.0)","(18,0.0)"
"(19,-0.0)","(19,-0.0)","(19,0.0)"
"(20,-0.0)","(20,-0.0)","(20,0.0)"
"(21,-0.0)","(21,-0.0)","(21,0.0)"
"(22,-0.0)","(22,-0.0)","(22,0.0)"
"(23,-0.0)","(23,-0.0)","(23,0.0)"
"(24,0.8381205373231047)","(24,0.8078383438337697)","(24,0.9886621315192744)"
"(25,0.4580622224000577)","(25,0.451838730514401)","(25,0.9183673469387756)"
"(26,0.4716946577843982)","(26,0.4657897937458372)","(26,0.9244444444444444)"
"(27,0.88857015650377)","(27,0.8625947811320813)","(27,0.9916311694548676)"
"(28,0.8860852636633574)","(28,0.8634830297906672)","(28,0.9916722887502109)"
"(29,0.8601030537035683)","(29,0.8311842537822234)","(29,0.9900388641854276)"
"(30,0.4759193652572004)","(30,0.3944097781847389)","(30,0.8877551020408163)"
"(31,0.5144358291209401)","(31,0.4290823987259191)","(31,0.90738813735692)"
"(32,0.3995249998713613)","(32,0.3059013837408622)","(32,0.8166351606805293)"
"(33,0.46875)","(33,0.4597589881390797)","(33,0.921875)"
"(34,0.5404820237218406)","(34,0.5304147825238745)","(34,0.9472)"
"(35,0.4580622224000577)","(35,0.451838730514401)","(35,0.9183673469387756)"
"(36,0.4453766770892746)","(36,0.376070251687928)","(36,0.8757396449704142)"
"(37,0.436225691459482)","(37,0.3695870269723925)","(37,0.871191135734072)"
"(38,0.5747338212693442)","(38,0.4662930921413382)","(38,0.9246550168732668)"
"(39,0.5256671379845577)","(39,0.3821203696903322)","(39,0.8798392987582176)"
"(40,0.4876914582641076)","(40,0.4132043811895699)","(40,0.8988642509464575)"
"(41,0.486949874752464)","(41,0.4148687993859334)","(41,0.8997933884297521)"
