entropy_shannon,entropy_renyi,entropy_tsallis
"(1,0.4389903352064102)","(1,0.3689126476468627)","(1,0.870708546384222)"
"(2,0.412956546839441)","(2,0.2964730008477447)","(2,0.8067934388155029)"
"(3,0.5903634815443032)","(3,0.4160442955058494)","(3,0.9004444444444444)"
"(4,0.7710791364943924)","(4,0.6922296598928938)","(4,0.978474915358572)"
"(5,0.8414430218862685)","(5,0.7758648508618553)","(5,0.986462724778962)"
"(6,0.8286916100480396)","(6,0.7565293640876346)","(6,0.984930607300949)"
"(7,0.7663893504715474)","(7,0.7254961564607441)","(7,0.9821009013627238)"
"(8,0.6742366269495126)","(8,0.6364903111801299)","(8,0.970679012345679)"
"(9,0.783022684131744)","(9,0.7420621322117303)","(9,0.983671875)"
"(10,0.7706232341648265)","(10,0.7490670736971686)","(10,0.984293958652933)"
"(11,0.8813515520229545)","(11,0.856681864317794)","(11,0.9913522227044456)"
"(12,0.680523486459912)","(12,0.6698012482046326)","(12,0.9756242568370987)"
"(13,0.4716946577843982)","(13,0.4657897937458372)","(13,0.9244444444444444)"
"(14,0.8895903941238661)","(14,0.8625344116689052)","(14,0.9916283674413228)"
"(15,0.8632454230001092)","(15,0.8370364159606922)","(15,0.9903569270845594)"
"(16,0.8666643167610537)","(16,0.8467293855316107)","(16,0.9908615518101964)"
"(17,0.705115081542035)","(17,0.687850424486277)","(17,0.9779458097038436)"
"(18,0.4962269728033513)","(18,0.4908747711321367)","(18,0.9342560553633218)"
"(19,0.8348050814070879)","(19,0.8019835913800165)","(19,0.988288)"
"(20,0.8616377306790552)","(20,0.8342808713865716)","(20,0.990208449610522)"
"(21,0.6045739585136223)","(21,0.5943609377704336)","(21,0.962962962962963)"
"(22,0.25)","(22,0.25)","(22,0.75)"
"(23,0.3509193652572006)","(23,0.3509193652572006)","(23,0.8571428571428572)"
"(24,0.4097016796023895)","(24,0.4023029398916877)","(24,0.8925619834710744)"
"(25,0.3818293500416063)","(25,0.1643389134644723)","(25,0.5979940687800476)"
"(26,0.6158417102422213)","(26,0.6020360058534515)","(26,0.964506172839506)"
"(27,0.7977394756462395)","(27,0.7170179596570809)","(27,0.981239314905555)"
"(28,0.8125329629471815)","(28,0.7365830006385414)","(28,0.9831681682972953)"
"(29,0.8053589369240614)","(29,0.7312024674475865)","(29,0.9826584067659035)"
"(30,0.8394854519731177)","(30,0.7810069929562959)","(30,0.9868432765404404)"
"(31,0.7531487423193779)","(31,0.7140393482669015)","(31,0.9809268728187648)"
"(32,0.6286239953064989)","(32,0.6195118242011611)","(32,0.967784352399737)"
"(33,0.6684350118445077)","(33,0.648480863679947)","(33,0.9725651577503428)"
"(34,0.8119502658154328)","(34,0.7837886337039436)","(34,0.9870446578265508)"
"(35,0.4272869792568112)","(35,0.4203212599230886)","(35,0.9027777777777778)"
"(36,0.8712743613329398)","(36,0.8459488249991526)","(36,0.9908219117123532)"
"(37,0.6433993734075297)","(37,0.6338962244849421)","(37,0.9702541914548404)"
"(38,0.6253819884166595)","(38,0.611121085951407)","(38,0.96625)"
"(39,0.3902410118609203)","(39,0.3823617111316961)","(39,0.88)"
"(40,0.6804964713889955)","(40,0.6289865408919486)","(40,0.9694332352461924)"
"(41,0.6203195208029816)","(41,0.582777476411004)","(41,0.960505921011842)"
"(42,0.8339177428421285)","(42,0.7942208479024762)","(42,0.9877728395061728)"
"(43,0.4612645646992082)","(43,0.4413836865907443)","(43,0.9134948096885812)"
"(44,0.5504820237218406)","(44,0.5416895086453218)","(44,0.9504)"
"(45,0.4529395801522519)","(45,0.3718268351975108)","(45,0.8727810650887574)"
"(46,0.6148475913044179)","(46,0.6005246108928365)","(46,0.9642074506939372)"
"(47,0.6042729649723987)","(47,0.5749327588020339)","(47,0.95875)"
"(48,0.4228421636881176)","(48,0.3347589881390797)","(48,0.84375)"
"(49,0.6762219775610885)","(49,0.610923798410818)","(49,0.9662130574845516)"
"(50,0.6291480219257887)","(50,0.6148579046593243)","(50,0.9669421487603306)"
"(51,0.3983380432387531)","(51,0.3201639040820638)","(51,0.8305785123966942)"
