entropy_shannon,entropy_renyi,entropy_tsallis
"(1,0.5133253921330593)","(1,0.5037184179242565)","(1,0.9387755102040816)"
"(2,0.6503819884166595)","(2,0.6400367792147139)","(2,0.97125)"
"(3,0.5)","(3,0.5)","(3,0.9375)"
"(4,0.4550279911177315)","(4,0.4457317097216814)","(4,0.9155555555555556)"
"(5,-1.0)","(5,-1.0)","(5,-1.0)"
"(6,-1.0)","(6,-1.0)","(6,-1.0)"
"(7,-1.0)","(7,-1.0)","(7,-1.0)"
"(8,-1.0)","(8,-1.0)","(8,-1.0)"
"(9,-1.0)","(9,-1.0)","(9,-1.0)"
"(10,-1.0)","(10,-1.0)","(10,-1.0)"
"(11,0.3994681113640105)","(11,0.3373990314417851)","(11,0.8460207612456747)"
"(12,0.3973541027632263)","(12,0.3317700013850228)","(12,0.8411386593204775)"
"(13,0.5607011674945952)","(13,0.4792911663238713)","(13,0.9298945375878852)"
"(14,0.5440332767535231)","(14,0.4608700745819592)","(14,0.9223548617488012)"
"(15,0.511945157038314)","(15,0.4603921321712264)","(15,0.9221488078138466)"
"(16,0.5538833307113729)","(16,0.4770750540250403)","(16,0.9290277149036767)"
"(17,0.8621331000706903)","(17,0.7970546703835512)","(17,0.9879634759413152)"
"(18,0.6307008066133265)","(18,0.5537127237967399)","(18,0.9535990481856038)"
"(19,0.7979189982905953)","(19,0.7253539642967168)","(19,0.9820867827020408)"
"(20,0.8120805938565446)","(20,0.7399754643285804)","(20,0.9834818458974004)"
"(21,0.8066493141853852)","(21,0.7323617149888212)","(21,0.9827695250435776)"
"(22,0.8383804418982027)","(22,0.7848003516475694)","(22,0.9871171358144852)"
"(23,0.6436281944798178)","(23,0.5981530815865324)","(23,0.9637336504161712)"
"(24,0.5628229258951336)","(24,0.5367103470823178)","(24,0.9490114464099896)"
"(25,0.6241546436765918)","(25,0.6158817043660281)","(25,0.9671292914536158)"
"(26,0.8879911833972819)","(26,0.8664686242778338)","(26,0.9918090244357316)"
"(27,0.5178330444436061)","(27,0.5129422005135513)","(27,0.9418282548476454)"
"(28,0.874357716883841)","(28,0.8517127883852549)","(28,0.9911106250683498)"
"(29,0.5379386068497098)","(29,0.5212406251802891)","(29,0.9444444444444444)"
"(30,0.7997084576803306)","(30,0.7720302744442681)","(30,0.9861717940633304)"
"(31,0.8217992847056651)","(31,0.7980682011506706)","(31,0.9880309339678762)"
"(32,0.8025432286886617)","(32,0.7797185781529471)","(32,0.9867489418931212)"
"(33,0.4815210904504101)","(33,0.4728260324652398)","(33,0.9273356401384084)"
"(34,0.7981238179468092)","(34,0.7729103171444837)","(34,0.9862391112233304)"
"(35,-1.0)","(35,-1.0)","(35,-1.0)"
"(36,-1.0)","(36,-1.0)","(36,-1.0)"
"(37,-1.0)","(37,-1.0)","(37,-1.0)"
"(38,0.8162506605836788)","(38,0.7886877821376912)","(38,0.987391873344186)"
"(39,0.8307841785194233)","(39,0.8135400624404039)","(39,0.989014993752603)"
"(40,0.796253920512561)","(40,0.7713048362830187)","(40,0.986116055535778)"
"(41,0.8137254765529564)","(41,0.7878405309915155)","(41,0.9873324990079668)"
"(42,0.5347541953539894)","(42,0.4702274408911268)","(42,0.9262809917355372)"
"(43,0.5204534128029857)","(43,0.4596106237702744)","(43,0.9218106995884774)"
"(44,0.4962269728033513)","(44,0.4908747711321367)","(44,0.9342560553633218)"
"(45,0.5152410118609203)","(45,0.507361711131696)","(45,0.94)"
"(46,0.5635142547614855)","(46,0.4799515244624124)","(46,0.9301507805423838)"
"(47,0.5243255542871764)","(47,0.4095622748693829)","(47,0.8968009352747369)"
"(48,0.813844244850263)","(48,0.7891244407500683)","(48,0.9874223650947224)"
"(49,0.8542830806390693)","(49,0.8335733949825821)","(49,0.9901699611060792)"
"(50,0.8633760115487504)","(50,0.7943915143774689)","(50,0.987784405522276)"
"(51,0.6516342240724945)","(51,0.5791701236177543)","(51,0.9597079502433749)"
"(52,0.8877011502339754)","(52,0.8586236178828748)","(52,0.9914448370046826)"
"(53,0.8859057456797641)","(53,0.8643208818036356)","(53,0.9917108898732512)"
"(54,0.884571178540176)","(54,0.8644714603477727)","(54,0.991717808264992)"
"(55,0.8848596548132082)","(55,0.859751337528716)","(55,0.9914981689813506)"
"(56,0.7532635368280877)","(56,0.7371502881156614)","(56,0.9832210331615802)"
