stream,bytes,megabytes,tuple
0,21277,0.02,"(0, 21277)"
1,6045,0.006,"(1, 6045)"
2,1487,0.001,"(2, 1487)"
3,1363,0.001,"(3, 1363)"
4,1231,0.001,"(4, 1231)"
5,8720,0.008,"(5, 8720)"
6,288,0.0,"(6, 288)"
7,21288,0.02,"(7, 21288)"
8,10336,0.01,"(8, 10336)"
9,840,0.001,"(9, 840)"
10,1415,0.001,"(10, 1415)"
11,5438,0.005,"(11, 5438)"
12,132,0.0,"(12, 132)"
13,132,0.0,"(13, 132)"
14,132,0.0,"(14, 132)"
15,132,0.0,"(15, 132)"
16,132,0.0,"(16, 132)"
17,11203,0.011,"(17, 11203)"
18,15088,0.014,"(18, 15088)"
19,11501,0.011,"(19, 11501)"
20,7866,0.008,"(20, 7866)"
21,1072,0.001,"(21, 1072)"
22,13603,0.013,"(22, 13603)"
23,14868,0.014,"(23, 14868)"
24,14011,0.013,"(24, 14011)"
25,11218,0.011,"(25, 11218)"
26,12220,0.012,"(26, 12220)"
27,12685,0.012,"(27, 12685)"
28,11656,0.011,"(28, 11656)"
29,12393,0.012,"(29, 12393)"
30,11733,0.011,"(30, 11733)"
31,13793,0.013,"(31, 13793)"
32,31720,0.03,"(32, 31720)"
33,13296,0.013,"(33, 13296)"
34,156861,0.15,"(34, 156861)"
35,15379,0.015,"(35, 15379)"
36,24494,0.023,"(36, 24494)"
37,11570,0.011,"(37, 11570)"
38,20385,0.019,"(38, 20385)"
39,14452,0.014,"(39, 14452)"
40,15246,0.015,"(40, 15246)"
41,12856,0.012,"(41, 12856)"
42,7675,0.007,"(42, 7675)"
43,206,0.0,"(43, 206)"
44,12328,0.012,"(44, 12328)"
45,12408,0.012,"(45, 12408)"
46,19990,0.019,"(46, 19990)"
47,12238,0.012,"(47, 12238)"
48,11929,0.011,"(48, 11929)"
49,198,0.0,"(49, 198)"
50,198,0.0,"(50, 198)"
51,615,0.001,"(51, 615)"
52,11572,0.011,"(52, 11572)"
53,1349,0.001,"(53, 1349)"
54,5384,0.005,"(54, 5384)"
55,132,0.0,"(55, 132)"
56,132,0.0,"(56, 132)"
57,132,0.0,"(57, 132)"
58,132,0.0,"(58, 132)"
59,132,0.0,"(59, 132)"
60,1487,0.001,"(60, 1487)"
61,10368,0.01,"(61, 10368)"
62,11206,0.011,"(62, 11206)"
63,7681,0.007,"(63, 7681)"
64,1487,0.001,"(64, 1487)"
65,4859,0.005,"(65, 4859)"
66,7023,0.007,"(66, 7023)"
67,7485,0.007,"(67, 7485)"
68,7417,0.007,"(68, 7417)"
69,6215,0.006,"(69, 6215)"
70,6544,0.006,"(70, 6544)"
71,6085,0.006,"(71, 6085)"
72,5045,0.005,"(72, 5045)"
73,4912,0.005,"(73, 4912)"
74,4199,0.004,"(74, 4199)"
75,6042,0.006,"(75, 6042)"
76,5727,0.005,"(76, 5727)"
77,6078,0.006,"(77, 6078)"
78,5512,0.005,"(78, 5512)"
79,5450,0.005,"(79, 5450)"
80,5534,0.005,"(80, 5534)"
81,1357,0.001,"(81, 1357)"
82,7790,0.007,"(82, 7790)"
83,6982,0.007,"(83, 6982)"
84,5848,0.006,"(84, 5848)"
85,39652,0.038,"(85, 39652)"
86,1420,0.001,"(86, 1420)"
87,1357,0.001,"(87, 1357)"
88,48281,0.046,"(88, 48281)"
89,39724,0.038,"(89, 39724)"
90,1357,0.001,"(90, 1357)"
91,25247,0.024,"(91, 25247)"
92,1357,0.001,"(92, 1357)"
93,27079,0.026,"(93, 27079)"
94,1357,0.001,"(94, 1357)"
95,34122,0.033,"(95, 34122)"
96,1357,0.001,"(96, 1357)"
97,4032,0.004,"(97, 4032)"
98,11618,0.011,"(98, 11618)"
99,1349,0.001,"(99, 1349)"
100,5198,0.005,"(100, 5198)"
101,210,0.0,"(101, 210)"
102,132,0.0,"(102, 132)"
103,132,0.0,"(103, 132)"
104,132,0.0,"(104, 132)"
105,132,0.0,"(105, 132)"
106,18444,0.018,"(106, 18444)"
107,20975,0.02,"(107, 20975)"
108,8152,0.008,"(108, 8152)"
109,4886,0.005,"(109, 4886)"
110,6994,0.007,"(110, 6994)"
111,2322,0.002,"(111, 2322)"
112,1349,0.001,"(112, 1349)"
113,6910,0.007,"(113, 6910)"
114,132,0.0,"(114, 132)"
115,132,0.0,"(115, 132)"
116,132,0.0,"(116, 132)"
117,132,0.0,"(117, 132)"
118,132,0.0,"(118, 132)"
119,4138,0.004,"(119, 4138)"
120,3886,0.004,"(120, 3886)"
121,20468,0.02,"(121, 20468)"
122,6005,0.006,"(122, 6005)"
123,5991,0.006,"(123, 5991)"
124,1415,0.001,"(124, 1415)"
125,5576,0.005,"(125, 5576)"
126,132,0.0,"(126, 132)"
127,132,0.0,"(127, 132)"
128,132,0.0,"(128, 132)"
129,132,0.0,"(129, 132)"
130,132,0.0,"(130, 132)"
131,11213,0.011,"(131, 11213)"
132,13646,0.013,"(132, 13646)"
133,6718,0.006,"(133, 6718)"
134,12170,0.012,"(134, 12170)"
135,13905,0.013,"(135, 13905)"
136,12264,0.012,"(136, 12264)"
137,18954,0.018,"(137, 18954)"
138,14166,0.014,"(138, 14166)"
139,13290,0.013,"(139, 13290)"
140,14726,0.014,"(140, 14726)"
141,14023,0.013,"(141, 14023)"
142,1415,0.001,"(142, 1415)"
143,5384,0.005,"(143, 5384)"
144,132,0.0,"(144, 132)"
145,132,0.0,"(145, 132)"
146,132,0.0,"(146, 132)"
147,132,0.0,"(147, 132)"
148,132,0.0,"(148, 132)"
