stream,bytes,megabytes,tuple
0,37247,0.036,"(0, 37247)"
1,108,0.0,"(1, 108)"
2,1401,0.001,"(2, 1401)"
3,12793,0.012,"(3, 12793)"
4,38590,0.037,"(4, 38590)"
5,35193,0.034,"(5, 35193)"
6,284491,0.271,"(6, 284491)"
7,778,0.001,"(7, 778)"
8,11835,0.011,"(8, 11835)"
9,778,0.001,"(9, 778)"
10,898,0.001,"(10, 898)"
11,736,0.001,"(11, 736)"
12,844,0.001,"(12, 844)"
13,1050,0.001,"(13, 1050)"
14,316719,0.302,"(14, 316719)"
15,3570,0.003,"(15, 3570)"
16,8719,0.008,"(16, 8719)"
17,8601,0.008,"(17, 8601)"
18,1540,0.001,"(18, 1540)"
19,8772,0.008,"(19, 8772)"
20,27253,0.026,"(20, 27253)"
21,206,0.0,"(21, 206)"
22,7777,0.007,"(22, 7777)"
23,15608,0.015,"(23, 15608)"
24,14285,0.014,"(24, 14285)"
25,11834,0.011,"(25, 11834)"
26,16666,0.016,"(26, 16666)"
27,11437,0.011,"(27, 11437)"
28,12595,0.012,"(28, 12595)"
29,219418,0.209,"(29, 219418)"
30,11552,0.011,"(30, 11552)"
31,22013,0.021,"(31, 22013)"
32,10736,0.01,"(32, 10736)"
33,10228,0.01,"(33, 10228)"
34,8688,0.008,"(34, 8688)"
35,24216,0.023,"(35, 24216)"
36,12823,0.012,"(36, 12823)"
37,18598,0.018,"(37, 18598)"
38,30844,0.029,"(38, 30844)"
39,10834,0.01,"(39, 10834)"
40,17101,0.016,"(40, 17101)"
41,12453,0.012,"(41, 12453)"
42,12165,0.012,"(42, 12165)"
43,10654,0.01,"(43, 10654)"
44,11856,0.011,"(44, 11856)"
45,10694,0.01,"(45, 10694)"
46,11455,0.011,"(46, 11455)"
47,9280,0.009,"(47, 9280)"
48,13126,0.013,"(48, 13126)"
49,12513,0.012,"(49, 12513)"
50,12535,0.012,"(50, 12535)"
51,28121,0.027,"(51, 28121)"
52,10948,0.01,"(52, 10948)"
53,531537,0.507,"(53, 531537)"
54,10775,0.01,"(54, 10775)"
55,206,0.0,"(55, 206)"
56,12748,0.012,"(56, 12748)"
57,18529,0.018,"(57, 18529)"
58,10264,0.01,"(58, 10264)"
59,11138,0.011,"(59, 11138)"
60,10078,0.01,"(60, 10078)"
61,6816,0.007,"(61, 6816)"
62,19221,0.018,"(62, 19221)"
63,9441,0.009,"(63, 9441)"
64,7510,0.007,"(64, 7510)"
65,2061571,1.966,"(65, 2061571)"
66,7473,0.007,"(66, 7473)"
67,4298447,4.099,"(67, 4298447)"
68,14153432,13.498,"(68, 14153432)"
69,262713,0.251,"(69, 262713)"
70,7356,0.007,"(70, 7356)"
71,7393,0.007,"(71, 7393)"
72,5002,0.005,"(72, 5002)"
73,37801,0.036,"(73, 37801)"
74,1212,0.001,"(74, 1212)"
75,211669,0.202,"(75, 211669)"
76,77788,0.074,"(76, 77788)"
77,17854,0.017,"(77, 17854)"
78,212714,0.203,"(78, 212714)"
79,24487,0.023,"(79, 24487)"
80,4484,0.004,"(80, 4484)"
81,14274,0.014,"(81, 14274)"
82,16491,0.016,"(82, 16491)"
83,49517,0.047,"(83, 49517)"
84,11209,0.011,"(84, 11209)"
85,37047,0.035,"(85, 37047)"
86,12267,0.012,"(86, 12267)"
87,13052,0.012,"(87, 13052)"
88,6023,0.006,"(88, 6023)"
89,16086,0.015,"(89, 16086)"
90,11742,0.011,"(90, 11742)"
91,14558,0.014,"(91, 14558)"
92,26069,0.025,"(92, 26069)"
93,21604,0.021,"(93, 21604)"
94,12576,0.012,"(94, 12576)"
95,12498,0.012,"(95, 12498)"
96,12524,0.012,"(96, 12524)"
97,14662,0.014,"(97, 14662)"
98,12624,0.012,"(98, 12624)"
99,24324,0.023,"(99, 24324)"
100,14593,0.014,"(100, 14593)"
101,13123,0.013,"(101, 13123)"
102,12613,0.012,"(102, 12613)"
103,13358,0.013,"(103, 13358)"
104,21937,0.021,"(104, 21937)"
105,11848,0.011,"(105, 11848)"
106,12597,0.012,"(106, 12597)"
107,14705,0.014,"(107, 14705)"
108,13809,0.013,"(108, 13809)"
109,37802,0.036,"(109, 37802)"
110,279096,0.266,"(110, 279096)"
111,15618,0.015,"(111, 15618)"
112,6409,0.006,"(112, 6409)"
113,34372,0.033,"(113, 34372)"
114,9792,0.009,"(114, 9792)"
115,11847,0.011,"(115, 11847)"
116,18636,0.018,"(116, 18636)"
117,10485,0.01,"(117, 10485)"
118,10122,0.01,"(118, 10122)"
119,10545,0.01,"(119, 10545)"
120,9850,0.009,"(120, 9850)"
121,11964,0.011,"(121, 11964)"
122,19047,0.018,"(122, 19047)"
123,206,0.0,"(123, 206)"
124,41940,0.04,"(124, 41940)"
125,12643,0.012,"(125, 12643)"
126,12086,0.012,"(126, 12086)"
127,38274,0.037,"(127, 38274)"
128,11690,0.011,"(128, 11690)"
129,42212,0.04,"(129, 42212)"
130,16570,0.016,"(130, 16570)"
131,8928,0.009,"(131, 8928)"
132,9509,0.009,"(132, 9509)"
133,18059,0.017,"(133, 18059)"
134,9101,0.009,"(134, 9101)"
135,9248,0.009,"(135, 9248)"
136,23208,0.022,"(136, 23208)"
137,95506,0.091,"(137, 95506)"
138,10543,0.01,"(138, 10543)"
139,17634,0.017,"(139, 17634)"
140,142263,0.136,"(140, 142263)"
141,11867,0.011,"(141, 11867)"
142,21768,0.021,"(142, 21768)"
143,7426,0.007,"(143, 7426)"
144,104481,0.1,"(144, 104481)"
145,18409,0.018,"(145, 18409)"
146,18079,0.017,"(146, 18079)"
147,23667,0.023,"(147, 23667)"
148,9734,0.009,"(148, 9734)"
149,21080,0.02,"(149, 21080)"
150,24102,0.023,"(150, 24102)"
151,11540,0.011,"(151, 11540)"
152,15708,0.015,"(152, 15708)"
153,12654,0.012,"(153, 12654)"
154,10435,0.01,"(154, 10435)"
155,17293,0.016,"(155, 17293)"
156,8001,0.008,"(156, 8001)"
157,10560,0.01,"(157, 10560)"
158,10551,0.01,"(158, 10551)"
159,10847,0.01,"(159, 10847)"
160,12839,0.012,"(160, 12839)"
161,13169,0.013,"(161, 13169)"
162,63838,0.061,"(162, 63838)"
163,12526,0.012,"(163, 12526)"
164,12541,0.012,"(164, 12541)"
165,11765,0.011,"(165, 11765)"
166,42435,0.04,"(166, 42435)"
167,17607,0.017,"(167, 17607)"
168,14105,0.013,"(168, 14105)"
169,16224,0.015,"(169, 16224)"
170,10962,0.01,"(170, 10962)"
171,48557,0.046,"(171, 48557)"
172,11166,0.011,"(172, 11166)"
173,13370,0.013,"(173, 13370)"
174,12374,0.012,"(174, 12374)"
175,8366,0.008,"(175, 8366)"
176,15682,0.015,"(176, 15682)"
177,6821,0.007,"(177, 6821)"
178,9529,0.009,"(178, 9529)"
179,34455,0.033,"(179, 34455)"
180,51853,0.049,"(180, 51853)"
181,65736,0.063,"(181, 65736)"
182,17386,0.017,"(182, 17386)"
183,15532,0.015,"(183, 15532)"
184,118747,0.113,"(184, 118747)"
185,51926,0.05,"(185, 51926)"
186,118779,0.113,"(186, 118779)"
187,55682,0.053,"(187, 55682)"
188,45481,0.043,"(188, 45481)"
189,57941,0.055,"(189, 57941)"
190,15124,0.014,"(190, 15124)"
191,189675,0.181,"(191, 189675)"
192,19339,0.018,"(192, 19339)"
193,11801,0.011,"(193, 11801)"
194,38158,0.036,"(194, 38158)"
