stream,bytes,megabytes,tuple
0,11705,0.011,"(0, 11705)"
1,2449,0.002,"(1, 2449)"
2,132,0.0,"(2, 132)"
3,403,0.0,"(3, 403)"
4,220,0.0,"(4, 220)"
5,462,0.0,"(5, 462)"
6,9060,0.009,"(6, 9060)"
7,209,0.0,"(7, 209)"
8,525,0.001,"(8, 525)"
9,337,0.0,"(9, 337)"
10,209,0.0,"(10, 209)"
11,353,0.0,"(11, 353)"
12,198,0.0,"(12, 198)"
13,396,0.0,"(13, 396)"
14,66,0.0,"(14, 66)"
15,648,0.001,"(15, 648)"
16,198,0.0,"(16, 198)"
17,198,0.0,"(17, 198)"
18,198,0.0,"(18, 198)"
19,198,0.0,"(19, 198)"
20,198,0.0,"(20, 198)"
21,205,0.0,"(21, 205)"
22,205,0.0,"(22, 205)"
23,132,0.0,"(23, 132)"
24,163,0.0,"(24, 163)"
