stream,bytes,megabytes,tuple
0,2688235,2.564,"(0, 2688235)"
1,5855,0.006,"(1, 5855)"
2,9757,0.009,"(2, 9757)"
3,5789,0.006,"(3, 5789)"
4,6889,0.007,"(4, 6889)"
5,8522,0.008,"(5, 8522)"
6,8618,0.008,"(6, 8618)"
7,6459,0.006,"(7, 6459)"
8,6841,0.007,"(8, 6841)"
9,6096,0.006,"(9, 6096)"
10,15333,0.015,"(10, 15333)"
11,5789,0.006,"(11, 5789)"
12,5789,0.006,"(12, 5789)"
13,684715,0.653,"(13, 684715)"
14,5789,0.006,"(14, 5789)"
15,4609320,4.396,"(15, 4609320)"
16,6115,0.006,"(16, 6115)"
17,4009,0.004,"(17, 4009)"
18,40348,0.038,"(18, 40348)"
19,5855,0.006,"(19, 5855)"
20,5855,0.006,"(20, 5855)"
21,7327,0.007,"(21, 7327)"
22,6274,0.006,"(22, 6274)"
23,6548,0.006,"(23, 6548)"
24,5855,0.006,"(24, 5855)"
25,1132768,1.08,"(25, 1132768)"
26,5855,0.006,"(26, 5855)"
27,4941,0.005,"(27, 4941)"
28,5996,0.006,"(28, 5996)"
29,5855,0.006,"(29, 5855)"
30,7571,0.007,"(30, 7571)"
31,5855,0.006,"(31, 5855)"
32,5789,0.006,"(32, 5789)"
33,5855,0.006,"(33, 5855)"
34,5921,0.006,"(34, 5921)"
35,5921,0.006,"(35, 5921)"
36,5855,0.006,"(36, 5855)"
37,5921,0.006,"(37, 5921)"
38,5921,0.006,"(38, 5921)"
39,5855,0.006,"(39, 5855)"
40,135183,0.129,"(40, 135183)"
41,24376,0.023,"(41, 24376)"
42,7782,0.007,"(42, 7782)"
43,66810,0.064,"(43, 66810)"
44,5789,0.006,"(44, 5789)"
45,19034,0.018,"(45, 19034)"
46,16080,0.015,"(46, 16080)"
47,11280,0.011,"(47, 11280)"
48,19752,0.019,"(48, 19752)"
49,206,0.0,"(49, 206)"
50,13861,0.013,"(50, 13861)"
51,26417,0.025,"(51, 26417)"
52,19391,0.018,"(52, 19391)"
53,20753,0.02,"(53, 20753)"
54,30333,0.029,"(54, 30333)"
55,5789,0.006,"(55, 5789)"
56,5789,0.006,"(56, 5789)"
57,5855,0.006,"(57, 5855)"
58,5855,0.006,"(58, 5855)"
59,5855,0.006,"(59, 5855)"
60,5789,0.006,"(60, 5789)"
61,9564,0.009,"(61, 9564)"
62,6058,0.006,"(62, 6058)"
63,5789,0.006,"(63, 5789)"
64,5855,0.006,"(64, 5855)"
65,5855,0.006,"(65, 5855)"
66,5855,0.006,"(66, 5855)"
67,5855,0.006,"(67, 5855)"
68,11212,0.011,"(68, 11212)"
69,5855,0.006,"(69, 5855)"
70,12679,0.012,"(70, 12679)"
71,120,0.0,"(71, 120)"
72,120,0.0,"(72, 120)"
73,120,0.0,"(73, 120)"
74,8903,0.008,"(74, 8903)"
75,5921,0.006,"(75, 5921)"
76,5855,0.006,"(76, 5855)"
77,5789,0.006,"(77, 5789)"
78,10353,0.01,"(78, 10353)"
79,11865,0.011,"(79, 11865)"
80,13215,0.013,"(80, 13215)"
81,12325,0.012,"(81, 12325)"
82,5855,0.006,"(82, 5855)"
83,5921,0.006,"(83, 5921)"
84,5855,0.006,"(84, 5855)"
85,23058,0.022,"(85, 23058)"
86,36058,0.034,"(86, 36058)"
87,12498,0.012,"(87, 12498)"
88,10736,0.01,"(88, 10736)"
89,10578,0.01,"(89, 10578)"
90,5057,0.005,"(90, 5057)"
91,7685,0.007,"(91, 7685)"
92,7021,0.007,"(92, 7021)"
93,8126,0.008,"(93, 8126)"
94,6723,0.006,"(94, 6723)"
95,6709,0.006,"(95, 6709)"
96,7237,0.007,"(96, 7237)"
97,7886,0.008,"(97, 7886)"
98,5789,0.006,"(98, 5789)"
99,5855,0.006,"(99, 5855)"
100,4009,0.004,"(100, 4009)"
101,5057,0.005,"(101, 5057)"
102,10121,0.01,"(102, 10121)"
103,6757,0.006,"(103, 6757)"
104,6490,0.006,"(104, 6490)"
105,11640,0.011,"(105, 11640)"
106,6473,0.006,"(106, 6473)"
107,6671,0.006,"(107, 6671)"
108,5855,0.006,"(108, 5855)"
109,5855,0.006,"(109, 5855)"
110,15168,0.014,"(110, 15168)"
111,10536,0.01,"(111, 10536)"
112,966,0.001,"(112, 966)"
113,5651,0.005,"(113, 5651)"
114,6820,0.007,"(114, 6820)"
115,6118,0.006,"(115, 6118)"
116,32815,0.031,"(116, 32815)"
117,6537,0.006,"(117, 6537)"
118,5855,0.006,"(118, 5855)"
119,5855,0.006,"(119, 5855)"
120,5789,0.006,"(120, 5789)"
121,12129,0.012,"(121, 12129)"
122,1278,0.001,"(122, 1278)"
123,4941,0.005,"(123, 4941)"
124,9324,0.009,"(124, 9324)"
125,10563,0.01,"(125, 10563)"
126,5789,0.006,"(126, 5789)"
127,8687,0.008,"(127, 8687)"
128,5381,0.005,"(128, 5381)"
129,7496,0.007,"(129, 7496)"
130,6459,0.006,"(130, 6459)"
131,6709,0.006,"(131, 6709)"
132,6907,0.007,"(132, 6907)"
133,6544,0.006,"(133, 6544)"
134,5855,0.006,"(134, 5855)"
135,3943,0.004,"(135, 3943)"
136,14394,0.014,"(136, 14394)"
137,3438605,3.279,"(137, 3438605)"
138,5789,0.006,"(138, 5789)"
139,6404,0.006,"(139, 6404)"
140,6114,0.006,"(140, 6114)"
141,5855,0.006,"(141, 5855)"
142,5789,0.006,"(142, 5789)"
143,6217,0.006,"(143, 6217)"
144,7030,0.007,"(144, 7030)"
145,5789,0.006,"(145, 5789)"
146,4195,0.004,"(146, 4195)"
147,23251,0.022,"(147, 23251)"
148,5855,0.006,"(148, 5855)"
149,6349,0.006,"(149, 6349)"
150,5451,0.005,"(150, 5451)"
151,5789,0.006,"(151, 5789)"
152,5789,0.006,"(152, 5789)"
153,32312,0.031,"(153, 32312)"
154,6114,0.006,"(154, 6114)"
155,5855,0.006,"(155, 5855)"
156,5855,0.006,"(156, 5855)"
157,5855,0.006,"(157, 5855)"
158,5855,0.006,"(158, 5855)"
159,5921,0.006,"(159, 5921)"
160,5855,0.006,"(160, 5855)"
161,6181,0.006,"(161, 6181)"
162,5855,0.006,"(162, 5855)"
163,5855,0.006,"(163, 5855)"
164,5789,0.006,"(164, 5789)"
165,5855,0.006,"(165, 5855)"
166,5789,0.006,"(166, 5789)"
167,5855,0.006,"(167, 5855)"
168,6115,0.006,"(168, 6115)"
169,5855,0.006,"(169, 5855)"
170,6223,0.006,"(170, 6223)"
171,5789,0.006,"(171, 5789)"
172,5855,0.006,"(172, 5855)"
173,5789,0.006,"(173, 5789)"
174,5789,0.006,"(174, 5789)"
175,5855,0.006,"(175, 5855)"
176,6180,0.006,"(176, 6180)"
177,5855,0.006,"(177, 5855)"
178,5789,0.006,"(178, 5789)"
179,14163,0.014,"(179, 14163)"
180,22737,0.022,"(180, 22737)"
181,13268,0.013,"(181, 13268)"
182,14144,0.013,"(182, 14144)"
183,12270,0.012,"(183, 12270)"
184,5855,0.006,"(184, 5855)"
185,5855,0.006,"(185, 5855)"
186,5855,0.006,"(186, 5855)"
187,5789,0.006,"(187, 5789)"
188,6114,0.006,"(188, 6114)"
189,5855,0.006,"(189, 5855)"
190,4009,0.004,"(190, 4009)"
191,11028,0.011,"(191, 11028)"
192,8741,0.008,"(192, 8741)"
193,8094,0.008,"(193, 8094)"
194,191473,0.183,"(194, 191473)"
195,7886,0.008,"(195, 7886)"
196,5921,0.006,"(196, 5921)"
197,13230348,12.617,"(197, 13230348)"
198,4009,0.004,"(198, 4009)"
199,10518,0.01,"(199, 10518)"
200,6955,0.007,"(200, 6955)"
201,6556,0.006,"(201, 6556)"
202,6459,0.006,"(202, 6459)"
203,6655,0.006,"(203, 6655)"
204,6907,0.007,"(204, 6907)"
205,5855,0.006,"(205, 5855)"
206,5789,0.006,"(206, 5789)"
207,4888,0.005,"(207, 4888)"
208,87641,0.084,"(208, 87641)"
209,5346,0.005,"(209, 5346)"
210,5789,0.006,"(210, 5789)"
211,5789,0.006,"(211, 5789)"
212,6245,0.006,"(212, 6245)"
213,5855,0.006,"(213, 5855)"
214,5789,0.006,"(214, 5789)"
215,5789,0.006,"(215, 5789)"
216,5921,0.006,"(216, 5921)"
217,5855,0.006,"(217, 5855)"
218,5789,0.006,"(218, 5789)"
219,11284,0.011,"(219, 11284)"
220,104014,0.099,"(220, 104014)"
221,6490,0.006,"(221, 6490)"
222,6555,0.006,"(222, 6555)"
223,5592,0.005,"(223, 5592)"
224,5724,0.005,"(224, 5724)"
