stream,bytes,megabytes,tuple
0,54,0.0,"(0, 54)"
1,135792,0.13,"(1, 135792)"
2,14164,0.014,"(2, 14164)"
3,3921,0.004,"(3, 3921)"
4,17385382,16.58,"(4, 17385382)"
5,486,0.0,"(5, 486)"
6,11550,0.011,"(6, 11550)"
7,11634,0.011,"(7, 11634)"
8,21571,0.021,"(8, 21571)"
9,18228,0.017,"(9, 18228)"
10,35166,0.034,"(10, 35166)"
11,27089,0.026,"(11, 27089)"
12,5392,0.005,"(12, 5392)"
13,10187,0.01,"(13, 10187)"
14,10954,0.01,"(14, 10954)"
15,9041,0.009,"(15, 9041)"
16,9041,0.009,"(16, 9041)"
17,7720,0.007,"(17, 7720)"
18,7720,0.007,"(18, 7720)"
19,7600,0.007,"(19, 7600)"
20,7666,0.007,"(20, 7666)"
21,7666,0.007,"(21, 7666)"
22,7720,0.007,"(22, 7720)"
23,7666,0.007,"(23, 7666)"
24,7600,0.007,"(24, 7600)"
25,7600,0.007,"(25, 7600)"
26,7666,0.007,"(26, 7666)"
27,7654,0.007,"(27, 7654)"
28,7720,0.007,"(28, 7720)"
29,198616,0.189,"(29, 198616)"
30,10447,0.01,"(30, 10447)"
31,205314,0.196,"(31, 205314)"
32,10447,0.01,"(32, 10447)"
33,28504,0.027,"(33, 28504)"
