src_ip,dst_ip,packet_count
10.42.0.173,10.42.0.140,54110
10.42.0.140,10.42.0.173,39522
10.42.0.173,52.211.88.99,495
52.211.88.99,10.42.0.173,444
10.42.0.173,52.212.32.83,50
52.212.32.83,10.42.0.173,50
10.42.0.173,27.124.125.252,12
27.124.125.252,10.42.0.173,12
10.42.0.173,131.107.13.100,81
10.42.0.173,129.6.15.28,62
129.6.15.28,10.42.0.173,62
10.42.0.173,104.40.149.189,12
104.40.149.189,10.42.0.173,12
10.42.0.173,129.6.15.29,62
10.42.0.173,132.163.97.6,12
129.6.15.29,10.42.0.173,62
132.163.97.6,10.42.0.173,12
10.42.0.140,10.42.0.1,317
10.42.0.1,10.42.0.140,317
10.42.0.140,108.128.159.79,413
108.128.159.79,10.42.0.140,349
10.42.0.173,203.190.214.199,11
203.190.214.199,10.42.0.173,11
10.42.0.173,192.36.144.22,59
192.36.144.22,10.42.0.173,59
10.42.0.173,128.138.140.44,88
128.138.140.44,10.42.0.173,88
10.42.0.173,133.100.9.2,37
133.100.9.2,10.42.0.173,37
10.42.0.140,23.72.244.208,44
23.72.244.208,10.42.0.140,44
10.42.0.173,10.42.0.1,56
10.42.0.1,10.42.0.173,56
17.57.146.138,10.42.0.140,155
10.42.0.140,17.57.146.138,212
10.42.0.140,142.250.74.35,45
10.42.0.140,17.23.112.11,23
142.250.74.35,10.42.0.140,40
10.42.0.140,199.232.172.159,37
199.232.172.159,10.42.0.140,53
17.23.112.11,10.42.0.140,17
10.42.0.140,142.250.74.138,50
142.250.74.138,10.42.0.140,51
10.42.0.140,40.114.177.156,221
40.114.177.156,10.42.0.140,223
10.42.0.140,40.114.178.124,58
40.114.178.124,10.42.0.140,57
10.42.0.140,199.232.175.6,155
199.232.175.6,10.42.0.140,185
10.42.0.140,20.103.36.96,23
20.103.36.96,10.42.0.140,22
10.42.0.140,224.0.0.251,25
10.42.0.140,31.13.72.48,189
31.13.72.48,10.42.0.140,211
10.42.0.140,31.13.72.52,30
31.13.72.52,10.42.0.140,23
10.42.0.140,142.250.74.10,18
10.42.0.140,142.251.38.106,22
10.42.0.140,216.58.211.10,63
10.42.0.140,17.253.39.144,17
17.253.39.144,10.42.0.140,11
10.42.0.140,224.0.0.22,4
10.42.0.140,20.44.10.123,32
10.42.0.140,4.153.25.145,14
10.42.0.140,51.116.246.106,33
51.116.246.106,10.42.0.140,26
20.44.10.123,10.42.0.140,24
4.153.25.145,10.42.0.140,10
10.42.0.140,17.253.39.132,45
17.253.39.132,10.42.0.140,47
10.42.0.140,17.250.84.139,14
17.250.84.139,10.42.0.140,16
10.42.0.140,17.248.214.70,23
17.248.214.70,10.42.0.140,22
10.42.0.140,17.248.214.12,716
17.248.214.12,10.42.0.140,1123
10.42.0.140,17.253.38.249,99
17.253.38.249,10.42.0.140,139
10.42.0.140,99.81.208.153,249
99.81.208.153,10.42.0.140,206
10.42.0.140,17.253.39.198,19
17.253.39.198,10.42.0.140,16
10.42.0.140,17.253.39.143,26
17.253.39.143,10.42.0.140,31
10.42.0.173,103.242.68.69,25
10.42.0.173,27.124.125.250,26
27.124.125.250,10.42.0.173,26
10.42.0.173,20.101.57.9,50
20.101.57.9,10.42.0.173,50
103.242.68.69,10.42.0.173,25
0.0.0.0,255.255.255.255,4
10.42.0.173,224.0.0.22,4
10.42.0.173,52.76.195.211,8
10.42.0.173,52.208.189.170,9
52.208.189.170,10.42.0.173,9
52.76.195.211,10.42.0.173,9
10.42.0.173,52.208.83.252,14
52.208.83.252,10.42.0.173,11
10.42.0.173,34.252.26.106,129
34.252.26.106,10.42.0.173,130
10.42.0.173,52.211.88.132,1135
52.211.88.132,10.42.0.173,1023
10.42.0.140,40.104.62.242,19
40.104.62.242,10.42.0.140,15
132.245.231.8,10.42.0.140,5
10.42.0.140,132.245.231.8,5
10.42.0.140,23.72.139.16,14
23.72.139.16,10.42.0.140,13
10.42.0.140,17.253.39.140,25
17.253.39.140,10.42.0.140,33
10.42.0.140,40.79.141.154,20
40.79.141.154,10.42.0.140,15
10.42.0.140,52.123.128.14,25
52.123.128.14,10.42.0.140,30
10.42.0.140,51.11.192.51,20
51.11.192.51,10.42.0.140,16
10.42.0.140,52.123.140.19,15
52.123.140.19,10.42.0.140,15
10.42.0.140,52.213.231.126,136
52.213.231.126,10.42.0.140,110
10.42.0.140,54.179.47.226,88
10.42.0.140,47.129.69.240,59
54.179.47.226,10.42.0.140,67
47.129.69.240,10.42.0.140,46
10.42.0.140,255.255.255.255,314
10.42.0.140,10.42.0.255,9
10.42.0.140,132.245.231.13,19
132.245.231.13,10.42.0.140,17
10.42.0.140,17.253.39.138,16
17.253.39.138,10.42.0.140,17
10.42.0.140,17.137.160.196,14
17.137.160.196,10.42.0.140,13
10.42.0.140,17.156.129.129,17
17.156.129.129,10.42.0.140,19
10.42.0.140,20.42.73.30,18
20.42.73.30,10.42.0.140,12
10.42.0.140,17.250.84.146,6
17.250.84.146,10.42.0.140,6
10.42.0.140,17.248.214.68,35
17.248.214.68,10.42.0.140,31
10.42.0.173,3.164.230.29,380
3.164.230.29,10.42.0.173,5947
10.42.0.173,34.255.227.31,14
34.255.227.31,10.42.0.173,10
10.42.0.173,18.203.55.58,86
18.203.55.58,10.42.0.173,62
10.42.0.173,8.8.8.8,1
10.42.0.173,8.8.4.4,1
8.8.8.8,10.42.0.173,1
8.8.4.4,10.42.0.173,1
10.42.0.173,46.51.142.132,17
46.51.142.132,10.42.0.173,13
10.42.0.173,239.255.255.250,2
10.42.0.1,255.255.255.255,2
10.42.0.173,14.102.99.217,19
10.42.0.173,159.196.178.7,22
14.102.99.217,10.42.0.173,19
159.196.178.7,10.42.0.173,22
10.42.0.173,129.6.15.27,24
129.6.15.27,10.42.0.173,24
10.42.0.1,224.0.0.251,1
10.42.0.140,52.178.17.3,10
52.178.17.3,10.42.0.140,9
10.42.0.140,17.253.39.136,43
17.253.39.136,10.42.0.140,38
10.42.0.140,17.248.214.67,35
17.248.214.67,10.42.0.140,38
10.42.0.140,40.101.1.39,18
40.101.1.39,10.42.0.140,16
10.42.0.140,83.255.226.163,20
83.255.226.163,10.42.0.140,15
10.42.0.140,17.57.172.16,69
17.57.172.16,10.42.0.140,53
10.42.0.140,23.72.244.23,24
23.72.244.23,10.42.0.140,25
10.42.0.140,17.253.145.10,11
17.253.145.10,10.42.0.140,16
10.42.0.140,17.250.84.132,7
10.42.0.140,17.250.84.142,10
17.250.84.132,10.42.0.140,7
17.250.84.142,10.42.0.140,9
10.42.0.140,17.253.39.197,40
17.253.39.197,10.42.0.140,36
10.42.0.140,199.232.175.52,69
199.232.175.52,10.42.0.140,45
10.42.0.140,17.253.39.134,15
17.253.39.134,10.42.0.140,13
10.42.0.140,17.253.38.255,143
17.253.38.255,10.42.0.140,199
10.42.0.140,23.73.2.136,22
23.73.2.136,10.42.0.140,25
10.42.0.140,17.253.15.199,83
10.42.0.140,17.132.82.17,14
17.132.82.17,10.42.0.140,15
17.253.15.199,10.42.0.140,70
10.42.0.140,17.253.144.10,24
17.253.144.10,10.42.0.140,24
10.42.0.140,31.13.72.8,58
31.13.72.8,10.42.0.140,96
10.42.0.140,157.240.200.16,9
157.240.200.16,10.42.0.140,9
10.42.0.140,17.253.39.137,27
17.253.39.137,10.42.0.140,20
10.42.0.140,17.253.39.195,18
17.253.39.195,10.42.0.140,18
10.42.0.140,17.138.222.1,43
17.138.222.1,10.42.0.140,41
10.42.0.140,192.168.0.17,33
192.168.0.17,10.42.0.140,13
10.42.0.140,13.69.239.74,18
13.69.239.74,10.42.0.140,15
10.42.0.140,142.250.74.170,98
10.42.0.140,173.194.221.95,30
142.250.74.170,10.42.0.140,116
173.194.221.95,10.42.0.140,32
10.42.0.140,142.250.74.106,16
142.250.74.106,10.42.0.140,16
10.42.0.140,83.255.218.43,27
83.255.218.43,10.42.0.140,28
10.42.0.140,216.58.207.234,24
10.42.0.140,216.58.207.202,16
216.58.207.234,10.42.0.140,26
216.58.207.202,10.42.0.140,14
10.42.0.140,216.58.211.5,44
216.58.211.5,10.42.0.140,44
142.250.74.10,10.42.0.140,16
216.58.211.10,10.42.0.140,63
10.42.0.140,216.239.32.223,159
216.239.32.223,10.42.0.140,136
10.42.0.140,17.250.84.144,8
17.250.84.144,10.42.0.140,8
10.42.0.140,17.138.175.254,20
17.138.175.254,10.42.0.140,25
10.42.0.140,52.98.228.210,14
52.98.228.210,10.42.0.140,11
10.42.0.140,17.253.39.133,16
17.253.39.133,10.42.0.140,12
10.42.0.140,13.50.180.192,29
13.50.180.192,10.42.0.140,25
10.42.0.140,17.253.150.10,9
17.253.150.10,10.42.0.140,19
10.42.0.140,17.253.107.23,2
17.253.107.23,10.42.0.140,3
10.42.0.140,108.157.217.16,26
108.157.217.16,10.42.0.140,20
10.42.0.140,142.250.74.131,5
142.250.74.131,10.42.0.140,3
10.42.0.140,162.159.140.229,26
10.42.0.140,172.64.150.129,14
10.42.0.140,104.18.36.146,12
162.159.140.229,10.42.0.140,30
104.18.36.146,10.42.0.140,12
172.64.150.129,10.42.0.140,12
10.42.0.140,216.239.32.36,44
142.251.38.106,10.42.0.140,18
216.239.32.36,10.42.0.140,35
10.42.0.140,216.58.207.206,39
216.58.207.206,10.42.0.140,33
10.42.0.140,104.18.41.41,26
104.18.41.41,10.42.0.140,25
10.42.0.140,104.18.33.206,15
104.18.33.206,10.42.0.140,17
10.42.0.140,13.69.239.78,24
13.69.239.78,10.42.0.140,18
10.42.0.140,142.250.74.165,15
142.250.74.165,10.42.0.140,16
10.42.0.140,142.250.74.101,17
142.250.74.101,10.42.0.140,16
